perth_suburb	postcode	lat	long	med_price_2017	change_2017	change_2017_per	buble_change
Median price < 400K		-31.511727	115.875449	400000			0
Median price  = 600K		-31.52046275	115.875449	600000			0
Median price = 800K		-31.5291985	115.875449	800000			0
Median price  = 1000K		-31.53793425	115.875449	1000000			0
Median price >  1200K		-31.54667	115.875449	1200000			0
Change in price -25%		-31.55541	115.875449	0			4
Change in price -15%		-31.56415	115.875449	0			14
Change in price -5%		-31.57289	115.875449	0			24
Change in price +5%		-31.58163	115.875449	0			34
Change in price +15%		-31.59037	115.875449	0			44
Change in price +25%		-31.59911	115.875449	0			54
Change in price > 35%		-31.60785	115.875449	0			64
Kwinana Town Centre	6167	-32.247665	115.813448	297500	-0.254	-25.4	4
Cardup	6122	-32.24878	116.007817	615000	-0.226	-22.6	6.8
Boya	6056	-31.915344	116.054417	520000	-0.188	-18.8	10.6
Mahogany Creek	6072	-31.868885	116.177751	480000	-0.186	-18.6	10.8
East Perth	6004	-31.943109	115.877401	977500	-0.168	-16.8	12.6
Carmel	6076	-32.018516	116.084188	572500	-0.158	-15.8	13.6
Hazelmere	6055	-31.906189	116.000272	448500	-0.154	-15.4	14
West Swan	6055	-31.84816	115.988532	655000	-0.149	-14.9	14.5
Middle Swan	6056	-31.870241	116.021698	310000	-0.145	-14.5	14.9
Bullsbrook	6084	-31.670853	116.031245	330000	-0.143	-14.3	15.1
Swanbourne	6010	-31.982485	115.770621	1448500	-0.138	-13.8	15.6
Shelley	6148	-32.03061	115.885784	820000	-0.137	-13.7	15.7
Viveash	6056	-31.876293	115.999126	461000	-0.137	-13.7	15.7
Calista	6167	-32.247262	115.806558	260000	-0.133	-13.3	16.1
Midvale	6056	-31.88902	116.023246	312500	-0.132	-13.2	16.2
Mullaloo	6027	-31.778989	115.74348	632000	-0.131	-13.1	16.3
North Lake	6163	-32.082188	115.837953	565000	-0.131	-13.1	16.3
Karawara	6152	-32.011577	115.884019	610000	-0.129	-12.9	16.5
Parmelia	6167	-32.249242	115.825562	262000	-0.127	-12.7	16.7
Brookdale	6112	-32.161249	115.981858	269000	-0.125	-12.5	16.9
Crawley	6009	-31.983689	115.814532	818000	-0.118	-11.8	17.6
Koondoola	6064	-31.842161	115.858058	317500	-0.118	-11.8	17.6
Greenmount	6056	-31.898957	116.057847	437500	-0.116	-11.6	17.8
Maddington	6109	-32.050158	115.976376	310000	-0.114	-11.4	18
Darling Downs	6122	-32.181628	115.988324	697500	-0.111	-11.1	18.3
